,2016S46,2016S47,2016S48,2016S49,2016S50,2016S51,2016S52,2017S01,2017S02,2017S03,2017S04,2017S05,2017S06,2017S07,2017S08,2017S09,2017S10,2017S11,2017S12,2017S13,2017S14,2017S15,2017S16,2017S17,2017S18,2017S19,2017S20,2017S21,2017S22,2017S23,2017S24,2017S25,2017S26,2017S27,2017S28,2017S29,2017S30,2017S31,2017S32,2017S33,2017S34,2017S35,2017S36,2017S37,2017S38,2017S39,2017S40,2017S41,2017S42,2017S43,2017S44,2017S45,2017S46,2017S47,2017S48,2017S49,2017S50,2017S51,2017S52,2018S01,2018S02,2018S03,2018S04,2018S05,2018S06,2018S07,2018S08,2018S09,2018S10,2018S11,2018S12,2018S13,2018S14,2018S15,2018S16,2018S17,2018S18,2018S19,2018S20,2018S21,2018S22,2018S23,2018S24,2018S25,2018S26,2018S27,2018S28,2018S29,2018S30,2018S31,2018S32,2018S33,2018S34,2018S35,2018S36,2018S37,2018S38,2018S39,2018S40,2018S41,2018S42,2018S43,2018S44,2018S45,2018S46,2018S47,2018S48,2018S49,2018S50,2018S51,2018S52,2019S01,2019S02,2019S03,2019S04,2019S05,2019S06,2019S07,2019S08,2019S09,2019S10,2019S11,2019S12,2019S13,2019S14,2019S15,2019S16,2019S17,2019S18,2019S19,2019S20,2019S21,2019S22,2019S23,2019S24,2019S25,2019S26,2019S27,2019S28,2019S29,2019S30,2019S31,2019S32,2019S33,2019S34,2019S35,2019S36,2019S37,2019S38,2019S39,2019S40,2019S41,2019S42,2019S43,2019S44,2019S45,2019S46,2019S47,2019S48,2019S49,2019S50,2019S51,2019S52,2020S01,2020S02,2020S03,2020S04,2020S05,2020S06,2020S07,2020S08
00000001V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.752142999999999,5.243206,5.453917,6.141198,6.178421,5.25659,6.2073849999999995,6.154164,5.934734,5.993727,7.276841,8.723616999999999,9.658063,7.385403999999999,6.440074,7.9450210000000006,7.321008,7.944323,7.580584,6.983795,8.637103999999999,8.417862,9.769814,9.429024,10.746064,10.750867,10.631226,10.78594,11.669872,12.624887,12.245429,11.054183,10.824869,10.475467,7.652089,11.046575,8.287298,10.180333000000001,7.874582000000001,11.487264,9.697357,9.536142,9.129964999999999,10.860249000000001,9.015873,12.366147,12.889155,9.278496,9.010394999999999,10.069655000000001,11.598306,10.755752000000001,12.191999000000001,11.556598,13.506713000000001,10.344961999999999,13.328867,11.967065,18.028131,11.555287,11.188269,11.82649,9.853308,12.158186,14.735779999999998,14.163791,12.233371,10.742693,13.324582000000001,13.429592000000001,14.620301000000001,12.455264,10.267374,13.159669000000001,12.114349,11.825958,14.786435999999998,16.808671,15.725337,16.472406,11.477132000000001,14.968729999999999,10.870703,18.735642000000002,13.561085,11.161904,11.814711,12.60698,15.297234,14.395984,15.923870999999998,13.943928,11.477481,7.985148,13.972285000000001,13.087556,14.956648999999999,16.27124,9.366767999999999,11.420967,10.113246,11.489788,10.54442,10.171578,13.756716,11.837367,12.7013,12.297203865121835,13.749802354831385,12.551269547623777,16.001678340890813,12.684398986242263,12.342515476699406,12.644670025411585,12.254877519467625,14.087160232999116,15.800467777033505,14.335992631818064,12.85634762942348,12.82197746946652,13.7595998399724,14.08258425519437,14.454994635940102,13.03308835681055,12.724871261753151,14.02052559950254,14.133011816038191,13.777623259656123,15.875606332888006,16.84836285609046,16.206120890891118,16.616264050816447,14.51985228412899,16.702429703984905,14.422975293604011,17.719135536698637,14.976549683456202,13.561656974553564,12.435835923972936,14.488761541580423,14.413900435938539,14.869568298594427,14.440564969266063,15.21705302198603,13.049231789475169,11.183115620806996,13.93464338068903,14.318981138905292,14.293588760151206,16.589210831805417,13.362947285761198,12.550870131442817,11.734690939986196,12.925637723534829,13.191612030761236,12.55947786245285,14.958059155071108,13.562536844679059,14.530712843061428
00000002H1,0.0,1.79382,1.9443,2.754689,2.72224,3.4017760000000004,3.323454,2.31033,2.9279919999999997,2.4849080000000003,2.503343,2.042249,3.237732,3.597271,3.240657,2.726517,2.6374779999999998,2.696765,2.2600700000000002,3.4856199999999995,3.3132620000000004,4.317114,3.6606449999999997,4.02569,4.469602,3.506493,3.9155,4.655761,5.364809999999999,4.036687000000001,5.095499,5.1071089999999995,4.560645,5.46635,5.58167,5.372888,6.131978,5.589664,5.426740000000001,5.345852,5.358048,5.608174,4.534035,4.5358540000000005,3.763836,4.392278,5.870216,3.723764,4.24562,4.914781,5.626208,4.507029,4.0358849999999995,4.724864,4.843652,4.863371,4.479165,3.9116459999999997,4.0912440000000005,3.3975239999999998,3.182863,2.6981490000000004,3.17265,2.7846740000000003,2.738142,3.959364,3.120079,3.0779919999999996,3.055614,3.5542629999999997,2.814882,3.209955,3.0264919999999997,2.801792,3.776127,3.018344,3.7704760000000004,3.5810730000000004,3.6124389999999997,3.9558129999999996,3.1974549999999997,3.7902519999999997,3.853789,3.878821,5.025281,4.782296,4.840644999999999,4.995403,4.543664,4.614871,4.681488,4.874707,4.808708,4.309824,3.516104,3.782675,3.539161,3.563331,3.1404330000000003,3.203443,3.350942,3.4852190000000003,3.978334,3.215682,3.7750550000000005,4.595949,3.3484599999999998,3.323529,4.445123000000001,3.730958,3.284325,6.024878,2.9871830000000004,3.359633,3.038262,3.100159,4.313931,3.504806,3.28654,2.6383082587461018,2.5723940048374074,2.8414765033478306,2.243853549876262,3.0448484459417675,2.8578571469747787,3.2385535531857883,3.3887752558259923,3.183831902836783,3.773387746674096,3.1887470730549827,3.4006060251759798,3.934130324289604,3.901195643470531,3.5252457496076475,4.07810807159274,4.0880739267167385,4.379657171592412,4.7025271908806,4.780782012712259,4.74508726682614,4.88996454545431,4.645485729251227,4.588268715589847,4.635221938135345,4.598949475243638,4.465031784471523,3.5213880740968295,3.6456872594763454,3.1278400368941695,3.4438797545482265,3.9609557181164288,2.908633048957912,3.2325930577237565,3.623553648106863,4.215150089164535,3.2638376588771427,3.2981069083564414,3.2941780564001237,2.955477034198338,3.211700690422388,3.434994163138364,3.223094767469207,3.097312862470699,3.431754667065085,2.543935958878546,2.34977234828281,2.398447439213162,2.1280670211851644,2.9081595910429945,3.1583730121582074,2.6804401845081034
00000005H7,1.916409,2.071822,1.9195419999999999,1.85565,2.0285849999999996,1.7887099999999998,1.749382,1.747307,1.8617549999999998,2.014465,2.152346,2.0489330000000003,2.0021400000000003,1.9478080000000002,1.9756470000000002,1.8997060000000001,2.11099,2.2151099999999997,2.082668,2.228488,2.267546,2.405479,2.365139,2.2881,2.758078,2.7829900000000003,2.6817450000000003,2.4514650000000002,2.5317220000000002,2.528252,2.569818,2.519231,2.432327,2.467461,2.599984,2.668253,2.866704,3.438542,3.000312,3.581825,3.557329,3.190401,3.0969729999999998,3.0613330000000003,3.012505,3.5851029999999997,3.252434,3.614376,3.4305,3.415482,4.709329,3.7744169999999997,3.6631739999999997,4.052498,3.6814169999999997,3.656798,3.976218,4.477258,3.7038330000000004,4.172758,4.327761,4.22964,4.528324,4.789482,4.705664,4.45057,5.003291,4.387619,3.9185980000000002,5.029457,4.935114,4.236026,4.9518629999999995,4.363073,4.255269,4.002351999999999,4.286415,3.4562169999999997,3.9615519999999997,4.703048,4.620728,4.431589,4.911159,4.262132,5.838482,4.800772,4.7775099999999995,4.502543,4.9959739999999995,4.636812,5.216634,6.515832,3.883456,4.159251,5.087326999999999,5.801462,4.539289,5.818073,4.107949,4.4179699999999995,5.893172,5.629243,4.534683,4.640714,4.664139,4.988247,5.4370650000000005,5.348033,5.190081,6.402111,5.7684489999999995,4.805781,4.778304,5.07941,4.6968440000000005,5.687043,4.74294,5.127141,5.026599,5.373396314716181,5.233949754627664,5.83101784382847,5.707297321285053,5.4204002227120265,5.787626202802862,5.552009283697951,5.467778135543188,5.292671604031665,5.659596903210106,5.246895697184694,5.438923279593687,5.684558297636691,5.673601491141546,5.567422458600863,5.818169529848464,5.458597638449209,6.193613901865759,5.682678814417557,5.727722828155054,5.614848394715049,5.951324875488334,6.048258402524168,6.109708592812211,7.040775138787538,5.703104764311698,5.648355637008986,6.056545039876752,6.386701028443342,5.722145904972575,6.63881132438094,5.6084081669986645,5.935389628023229,6.572043999580345,6.423535477915782,6.514098429665693,6.090514097457962,6.201659319588482,6.479307012881041,6.443715701664583,6.37391852724299,6.474904749540621,6.955627953709226,6.463288069965994,6.287951957460079,6.358684905458515,6.467466768197091,6.475831000670599,6.848998190093578,6.481438748764307,6.497206860557705,6.649858819218804
00000005J5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.063764,8.995921000000001,9.738078999999999,10.247367,9.961115,11.387195,11.092608,11.295916,11.073436000000001,11.206248,10.425663,8.604873,9.409562,0.0,0.0,5.611383,8.039473,7.5182,6.1718779999999995,5.881366000000001,6.520059,5.0682529999999995,5.6278,4.88724,5.870793,6.25404,8.672139999999999,7.374469,5.151719,5.026023,5.607292,6.318892,5.871682,5.448489,8.442279,12.248678,8.406009,8.20053,9.236078,8.306514,7.883025999999999,11.9937,11.120291,12.699811,14.164728,12.85249,14.003098000000001,13.146282000000001,9.16763,10.645946,12.386485,10.719603,12.073205,15.108305,12.619452,15.077372,15.794087,15.909073000000001,16.171607,15.614531,17.197565,16.825511,15.303932999999999,15.341999,15.532464000000001,14.704707,11.624426,9.865734,7.102564,11.011755,12.633382000000001,8.342466,11.138356,7.447183,12.100866,11.480817,6.7187589999999995,7.737438,9.15409,7.791367,7.803846000000001,7.601392,8.597711,9.016835,8.136528,10.252555000000001,9.18705,14.408603,11.842680999999999,12.148243249189592,12.188866199038792,12.229489148887993,12.270112098737192,12.310735048586393,12.351357998435592,12.391980948284793,12.432603898133994,12.473226847983193,12.513849797832394,12.554472747681594,12.595095697530795,12.635718647379994,12.676341597229195,12.716964547078394,12.757587496927595,12.798210446776796,12.838833396625995,12.879456346475196,12.920079296324396,12.960702246173597,13.001325196022796,13.041948145871997,13.082571095721198,13.123194045570397,13.163816995419598,13.204439945268797,13.245062895117998,13.285685844967198,13.326308794816399,13.3669317446656,13.407554694514799,13.448177644364,13.488800594213199,13.5294235440624,13.5700464939116,13.6106694437608,13.65129239361,13.6919153434592,13.732538293308401,13.7731612431576,13.813784193006802,13.854407142856001,13.895030092705202,13.935653042554403,13.976275992403602,14.016898942252803,14.057521892102002,14.098144841951203,14.138767791800403,14.179390741649604,14.220013691498803
00000006J5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83724,3.717436,3.447321,4.127477,3.922011,4.1181,3.9349230000000004,4.4917739999999995,4.278233999999999,4.508847,4.120602,4.582806,4.101011,3.8609690000000003,4.58677,4.517039,4.510063,4.682554,4.948652,4.593975,4.356426,4.343442,4.625051,4.161969,4.288796,4.346362,5.308413,4.1271580000000005,4.1563360000000005,4.479188,3.88455,3.8711050000000005,4.125841,4.84552,4.153837,4.648264,4.127190000000001,4.752842,4.248318,4.21936,4.313291,4.824997,4.830608,4.4261870000000005,4.561049,5.724183999999999,4.965345617081856,5.057232771677631,5.149119926273406,5.241007080869181,5.3328942354649564,5.424781390060732,5.516668544656506,5.608555699252282,5.700442853848056,5.792330008443831,5.884217163039606,5.976104317635381,6.0679914722311565,6.159878626826932,6.251765781422707,6.343652936018482,6.435540090614257,6.527427245210032,6.619314399805807,6.711201554401582,6.8030887089973575,6.894975863593132,6.986863018188908,7.078750172784682,7.170637327380458,7.262524481976232,7.354411636572008,7.4462987911677825,7.538185945763558,7.630073100359333,7.721960254955108,7.813847409550883,7.905734564146658,7.997621718742433,8.089508873338207,8.181396027933983,8.273283182529758,8.365170337125534,8.457057491721308,8.548944646317084,8.640831800912858,8.732718955508634,8.824606110104408,8.916493264700183,9.008380419295959,9.100267573891735,9.192154728487509,9.284041883083283,9.37592903767906,9.467816192274835,9.55970334687061,9.651590501466384
00000006V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6583080000000001,1.5211709999999998,2.12155,2.251036,2.6496470000000003,2.622204,2.561699,2.047721,2.947995,2.096173,1.910597,2.263877,1.7634869999999998,2.1149259999999996,1.7573900000000002,4.703768,3.265518,3.7580910000000003,3.306146,4.0503730000000004,4.8091349999999995,3.40361,3.5609300000000004,4.097919,4.127387000000001,3.911398,3.5432080000000004,4.028988,3.362806,2.859428,3.5576019999999997,5.158819,4.95925,4.703729,4.5325370000000005,3.8489379999999995,4.030455,4.1192839999999995,4.370989,4.863174,4.453857,4.237796,4.141339,4.281494,3.270114,4.214647,5.0561739999999995,4.336137,5.924562,3.9813089999999995,4.363212,4.12819,5.315554,4.5015279999999995,4.689667,4.8056589999999995,5.152919,5.103505,4.584026000000001,4.933974,5.277691,5.900346,4.223868,4.041818,4.641230999999999,4.2011389999999995,4.024763,4.178053,4.185422,3.6714839999999995,4.209674,4.615308,4.434025,4.146595,4.742973999999999,3.890512,4.9051800000000005,4.824191000000001,5.710217,5.191114,4.698144999999999,5.046122,4.142035,3.719122,5.775476,5.3018089999999995,6.610733,4.681248,5.337003465606814,5.375937405354997,5.4148713451031805,5.453805284851364,5.492739224599547,5.531673164347731,5.570607104095914,5.609541043844097,5.648474983592281,5.687408923340464,5.7263428630886475,5.765276802836831,5.804210742585014,5.843144682333197,5.88207862208138,5.9210125618295635,5.959946501577747,5.99888044132593,6.037814381074114,6.076748320822297,6.11568226057048,6.154616200318664,6.193550140066847,6.2324840798150305,6.271418019563214,6.310351959311397,6.349285899059581,6.388219838807764,6.427153778555947,6.466087718304131,6.505021658052314,6.5439555978004975,6.582889537548681,6.621823477296864,6.660757417045048,6.699691356793231,6.738625296541414,6.777559236289598,6.816493176037781,6.8554271157859645,6.894361055534148,6.933294995282331,6.972228935030515,7.011162874778698,7.050096814526881,7.089030754275065,7.127964694023248,7.1668986337714315,7.205832573519615,7.244766513267798,7.283700453015982,7.322634392764165
00000007H1,2.8139369999999997,1.9849139999999998,1.9425709999999998,2.104397,2.740638,2.633091,2.892509,2.2799099999999997,2.687612,2.4153580000000003,2.410278,2.301714,2.769716,2.618042,2.465049,2.48378,2.761357,2.970743,2.714664,2.54604,2.5216979999999998,2.864591,2.844492,2.683879,2.752018,2.649911,2.745557,2.3064259999999996,2.8489560000000003,3.5753449999999996,3.235621,3.335756,3.2310220000000003,2.822807,3.254671,3.449992,3.171045,3.0745430000000002,2.791719,3.209393,3.7233440000000004,3.6119760000000003,3.5835230000000005,3.596579,3.6288480000000005,3.25562,2.741972,3.344008,3.676589,3.3867839999999996,3.319957,3.9826580000000003,3.1095490000000003,3.57873,3.726033,3.202315,3.5946540000000002,3.21877,4.031457,4.109422,3.79291,3.755407,4.391138,3.981132,4.361858,3.778665,3.4590300000000003,5.520745,3.922718,4.169036,4.293183999999999,3.931345,4.5644919999999995,4.167935,4.612603,4.134358,4.390649,4.152061,4.536261,4.461583999999999,4.211522,4.672025,4.6758239999999995,4.642618,5.70399,5.093485,3.915633,4.649253,4.222649,4.334546,4.331645,4.835566,5.677093,5.388526000000001,5.593629,4.7981169999999995,5.254856,5.003748000000001,5.034116,5.337043,6.068201,5.477316,5.022989,5.436132,6.105189,4.930307,5.081102,5.556528,5.920083,5.4671959999999995,6.537204,5.822754,7.5851880000000005,6.953396000000001,6.235793,5.578519,6.015669,5.815156,6.481847,6.712516000012652,6.058265447288364,6.291985305698781,6.231814694839526,5.972321452554652,6.282422021610469,6.261256525758,6.47918271088315,6.165374256675339,6.333191281833906,6.168428494784393,6.413919363443702,6.16256612036428,6.314333138556818,6.9132933525606255,6.750824868417675,6.789761933443911,7.273530965135939,6.7695975505893875,6.4020060071832265,6.871854177489822,6.52443077885917,6.537453977226825,6.399889679492633,6.865956376407755,7.548933540684128,7.354170967596043,7.447665821593853,7.0615711478737975,7.311170722782822,7.004059183690171,6.767434900695118,7.22488874237625,7.761682876522861,7.326208503957074,7.070439650877432,7.613095904589135,7.693403573714308,7.188235687514582,7.279346026693125,7.3229590696236215,7.792683062383558,7.48616775812855,8.205710532251716,7.794769967454695,8.417981251296936,8.10938454773624,8.085570569900023,7.69870811274914,8.13233446568039,7.825455761640124,7.894307388401804
00000007H7,1.9358529999999998,2.0281569999999998,1.9242709999999998,1.976207,2.137341,2.02502,2.039009,1.9862689999999998,1.519784,1.358207,2.377049,2.383427,2.852521,2.318581,2.995578,2.1591099999999996,2.6267490000000002,2.396482,2.5870040000000003,2.4308240000000003,2.8517580000000002,3.6041819999999998,3.292718,3.0056830000000003,3.5194980000000005,2.971215,2.9754650000000002,3.663096,3.5441540000000002,3.17053,3.14233,3.0552029999999997,3.3009269999999997,3.6765019999999997,3.792849,3.702199,3.920197,4.302246,4.952064,4.320243,4.22498,4.6870709999999995,3.945037,4.33447,4.224705,4.266152,5.568157,3.7987330000000004,4.155009,4.125309,5.02417,4.396738,4.813656,4.306885,4.544092,4.90561,4.075824,4.762493,4.80342,4.524748000000001,3.945555,4.75833,4.988404,4.461214,5.195404,5.151337,5.353594,4.895825,4.477797,6.209754,5.349424,4.818206,5.878067,6.535133,5.461256,5.626530000000001,5.345658,4.858858000000001,5.588533999999999,5.22318,6.515869,5.855391,7.2604,5.952126,8.540791,6.771039,7.636608,7.168194000000001,7.483925,7.897672999999999,6.032215,7.354483999999999,6.255251,7.422836,6.175673000000001,6.220632,5.983855,6.987663,6.175568,10.491468,7.5756429999999995,7.2136830000000005,8.493541,6.990968,8.033961999999999,6.605399,7.445321000000001,8.386252,7.449744,9.641926,9.29477,8.571878,7.482498,8.60913,7.685207000000001,7.561574,8.862259,8.210411,7.891314,7.892401961490544,7.92114929850254,8.675910640439252,8.344930807656471,8.005176233980471,8.749545607763086,9.45828838909452,8.76963804297822,8.71279506513121,8.833315968148725,8.319829739019172,8.690847791652178,8.856034786393632,9.4469439233801,8.933909757861079,9.626307156398802,8.932570864129529,10.35369661641889,9.660502072999014,10.155312424648535,9.879587262069565,10.150209713732664,10.551814307979617,9.947646026677269,10.296465312947381,9.702754282445524,10.521069489640716,9.529887233020292,9.750438033759574,9.58046008196371,10.10631900015036,10.35444481268777,11.63079594277479,10.354082904514948,10.161272830484556,11.253627001480673,10.19161860301097,10.822620145614424,10.21218620981205,10.540297563501133,10.995467121612512,10.464133685529491,11.390042998063441,11.296373926921966,10.948689788965323,10.240751921678848,10.837099259464914,10.94914626773617,10.738019310128982,11.576333638551274,11.170005452370013,11.359468039360646
00000007J4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6231414000000001,0.6841789,0.8480226999999999,0.8097189,1.0037893,1.2430306999999998,1.2953752,3.1692812999999997,2.8902083999999997,2.5578369,3.291446,3.0589181,2.7962269,2.9470289000000003,2.9248892000000004,3.4653682999999997,2.4813503,3.2298913,3.1771968,3.2869239,3.1730967999999997,3.2550956,3.6418767,3.2170606,3.3583466,3.262892,3.4410294,3.7351731,3.0158285,3.3458212,3.3292447,4.1401764,3.5388612999999998,3.7664431000000005,3.2215752999999996,4.1432756,3.7623267,3.4204385000000004,3.6045294,3.7145731,3.8411269,3.6910464999999997,3.2821179,3.0382226,3.661104,3.5868527,3.5720467000000005,3.9978607000000004,3.6816076,4.0379711,3.6867896,3.3829627999999996,3.437104,3.3009617999999996,4.080754600000001,3.184224,3.1471318999999998,1.6826396000000001,4.1520445,3.4461784,3.4635764685068473,3.509611670990206,3.555646873473565,3.6016820759569232,3.647717278440282,3.693752480923641,3.7397876834069996,3.7858228858903584,3.831858088373717,3.8778932908570756,3.9239284933404344,3.969963695823793,4.015998898307152,4.062034100790511,4.1080693032738695,4.154104505757228,4.200139708240587,4.246174910723946,4.292210113207304,4.3382453156906635,4.384280518174021,4.43031572065738,4.476350923140739,4.522386125624098,4.568421328107457,4.614456530590815,4.660491733074174,4.706526935557533,4.752562138040892,4.798597340524251,4.844632543007609,4.890667745490967,4.936702947974327,4.982738150457685,5.028773352941044,5.0748085554244025,5.120843757907761,5.16687896039112,5.212914162874479,5.258949365357838,5.304984567841196,5.351019770324555,5.397054972807914,5.443090175291273,5.489125377774631,5.53516058025799,5.581195782741348,5.627230985224707,5.673266187708066,5.719301390191425,5.7653365926747835,5.811371795158142
00000007V1,1.4143266,1.4151504,1.3959968,1.3041352,1.4793305,1.5548396,1.6558822,1.5222596000000002,1.7462395,1.5817928999999997,1.5464071000000001,1.5490171,1.7597109,1.4751252000000001,1.5713529,1.5509777,0.16665870000000002,1.8928051,1.8158439999999998,2.028572,2.0434864,2.09726,2.2701355,2.3736735,2.2292014,2.2067933999999996,2.2553443,3.7926979,3.1924517999999997,3.662327,3.8982137000000003,3.8754379,4.0685476000000005,4.08371,4.710458200000001,5.1174029999999995,5.1963028,5.0113867,5.0321164000000005,5.1141731,5.155493,4.639832900000001,4.657759099999999,5.2635605000000005,4.4800522,3.8386593999999996,3.7299842000000005,3.5672892999999997,3.5457447,3.6071863,3.5638822999999995,3.1953836,3.4837729,3.0407837000000004,3.0556254000000003,3.2399201,3.1857746,3.9301536,5.3801071,3.9998796999999997,3.5128720999999996,3.8647620000000003,3.5994714,3.2287391,3.3549669,3.9438222,4.2204972000000005,4.0112845,3.3841729,3.8946413,4.6509276,3.5529425999999997,4.1860649,4.3397359,4.694260400000001,4.5725041,5.6139488,4.9304643,4.5678988,5.2104105,5.3505553,5.576789,5.2103289,5.1700052,5.5693679000000005,6.0580526,6.3799755,5.8560067,6.6568042,6.1876932,6.209003500000001,6.0027889000000005,6.7065655,6.098774400000001,5.138560900000001,5.1223083,5.0138957,6.6558342999999995,5.765086,4.136618799999999,5.5580998,5.4283814,5.7741099,4.2011626,3.9250002,4.393907700000001,4.2289932,7.152705999999999,3.7147824999999997,4.5589322999999995,5.286354900000001,4.4271162,4.4980082,4.5347135000000005,4.4193019,6.546161799999999,4.6395862999999995,4.310361299999999,6.6882946,4.954610870325079,3.934031221010535,5.038095043781331,5.363942492673396,4.907814656045948,5.218546756537442,5.30912801344031,5.55977657713933,5.537665558461909,5.973167411167072,5.6072292332848015,5.437202203480045,6.514070194540985,6.270894614560472,6.605750567452067,6.527180046674247,6.482250675134977,6.7650018150374125,7.003325796746976,7.463938786612089,7.391573357461825,7.817430391265646,7.476280069714311,7.483011495136848,7.406485782387687,7.764422933601001,7.187916031872803,6.701815535044689,6.981452896617587,6.520171586617621,7.004938396951804,6.4895380893857535,5.578096281347255,6.262054115891789,6.211798065328235,6.34685931528581,5.3600713474518304,5.636500176023528,5.625276482869723,5.5501615685599415,6.5372691191970755,5.413844930145295,5.951239859895192,6.693981049998108,5.886804464895729,5.807225753637734,5.867045728064195,5.714108149869927,6.286775430947333,5.750636502663059,5.7300422424849335,6.635903550721477
